delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_80163EC8 -> 132 sibling(s) of class f291a077544a
  delever --apply-body: src/ov_SC01_000/ov_SC01_000_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC01_077/ov_SC01_077_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_037/ov_SC02_037_jr_8015A3C8.c:func_80163EC8 IDENTICAL on 1 object(s) (0.47 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_004/ov_SC02_004_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.44 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC01_004/ov_SC01_004_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC01_084/ov_SC01_084_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.46 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_005/ov_SC02_005_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC01_009/ov_SC01_009_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_011/ov_SC02_011_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC01_080/ov_SC01_080_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC01_074/ov_SC01_074_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.44 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC01_001/ov_SC01_001_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC01_008/ov_SC01_008_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.52 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_015/ov_SC02_015_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_016/ov_SC02_016_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_017/ov_SC02_017_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC01_005/ov_SC01_005_jr_8015C32C.c:func_80163EC8 IDENTICAL on 2 object(s) (0.90 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_000/ov_SC02_000_jr_8015C32C.c:func_80163EC8 IDENTICAL on 2 object(s) (0.82 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_026/ov_SC02_026_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_039/ov_SC02_039_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_021/ov_SC02_021_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_027/ov_SC02_027_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_035/ov_SC02_035_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_031/ov_SC02_031_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_028/ov_SC02_028_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC03_003/ov_SC03_003_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC02_041/ov_SC02_041_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1b)
  delever --apply-body: src/ov_SC03_002/ov_SC03_002_jr_8015C32C.c:func_80163EC8 IDENTICAL on 1 object(s) (0.42 s) — KEPT, ledgered (rung D, p1b)
