# docs/commit-map.tsv — the public history's commit map (P33 C7). Generated by tools/public_rewrite/build_commit_map.py; never edit.
# Before the public flip the history was rewritten (ROM-derived paths purged, personal addresses mapped, old commit hashes
# in every historical doc replaced by the inert token commit:NNNN). NNNN is the ordinal of the commit on main in the ORIGINAL
# order (1 = the first commit); this table maps it to the rewritten commit. A row of 40 zeros is the one commit that touched
# only purged paths and was pruned. Documents at the tip cite the new hashes directly (tools/public_rewrite/resolve_tokens.py).
ordinal	new_hash	author_date	committer_date	subject
0001	23066aa5710497ac10f49f6f37e45b009116ae1f	2026-06-10T19:39:19-06:00	2026-06-10T19:39:19-06:00	Initial commit
0002	d4334fc1ca7e3ce37c6e6a46cc64c567be9b5a6d	2026-06-10T22:02:07-06:00	2026-06-10T22:02:07-06:00	plan files created
0003	90585bcf14bd4a3b94091c8dd8f193b3d08bee7a	2026-06-10T22:17:46-06:00	2026-06-10T22:17:46-06:00	Update SETUP.md
0004	cacac2257747bec78008c2341a3d2c629b975ec3	2026-06-10T23:43:30-06:00	2026-06-10T23:43:30-06:00	chore: archive superseded brief + research into docs/history/
0005	de7f015436ed836d49f4e3d529a3786f3105d31c	2026-06-10T23:43:31-06:00	2026-06-10T23:43:31-06:00	feat(extract): ISO9660/MODE2 disc reader + SLUS_007.26 extractor
0006	ca51930605adaf4606b475814c38c9200d32de7c	2026-06-10T23:43:31-06:00	2026-06-10T23:43:31-06:00	docs: convert to all-in-WSL architecture; relax H1 ROM policy while private
0007	416b8251bd6f5676d3492465a93e35183f03212a	2026-06-10T23:43:31-06:00	2026-06-10T23:43:31-06:00	chore(phase-1): in-progress log + recorded constitution corrections
0008	1d16583cae88394ff90f9c46fdad76f1ff3a840d	2026-06-11T00:33:17-06:00	2026-06-11T00:33:17-06:00	chore(phase-1): mark section A complete, next = WSL migration
0009	3c5d09fb5a3739b53f83f6c5e4f909504ef84611	2026-06-11T00:52:14-06:00	2026-06-11T00:52:14-06:00	chore(phase-1): record no-co-author convention; de-stale commit refs
0010	7e5f4c98be42b8c16c30f087f67a3289016d9db6	2026-06-13T15:02:00-06:00	2026-06-13T15:02:00-06:00	chore(phase-1): bootstrap WSL2 env (Ubuntu-24.04, user, Claude Code, gh, git)
0011	2dd2d6ff0f12b70fcdff89faf2feea95b4359250	2026-06-13T15:13:06-06:00	2026-06-13T15:13:06-06:00	chore(phase-1): record git workflow = WSL-commit / GitHub-Desktop-push
0012	36a366ba3f98e0fdf61c0302fef7894d6213065c	2026-06-13T15:52:37-06:00	2026-06-13T15:52:37-06:00	chore(phase-1): install RE stack + headless import (PsyQ 4.0.0, MCP live)
0013	5b6ffc0664620a1cb57bb3671bd0d6c5ddcd2fe0	2026-06-13T16:46:03-06:00	2026-06-13T16:46:03-06:00	chore(phase-1): headless .gdt attach + MCP type-resolution test (ledger #2)
0014	3e6a6e54809f4969c53511b8516b15d226dcc006	2026-06-13T17:04:08-06:00	2026-06-13T17:04:08-06:00	chore(phase-1): close Phase 1 — RE stack live, EXE imported, LZSS matched via MCP
0015	b6ea3a2747ee7c7f156c54aebcb883626c6b7e9a	2026-06-13T19:47:42-06:00	2026-06-13T19:47:42-06:00	feat(phase-2): deterministic disc/.CD/PAC/LZSS extraction pipeline
0016	bd5e21b36668cf28f6a209f9f28f0c5bbe31f807	2026-06-14T02:04:28-06:00	2026-06-14T02:04:28-06:00	feat(phase-3): file-loader & overlay-map RE + PCSX-Redux runtime oracle
0017	3207d524915efae1ebb7c71f5c6b06a9502c87b7	2026-06-14T03:19:23-06:00	2026-06-14T03:19:23-06:00	feat(phase-3.5): prototype research spike — go/no-go (protos don't accelerate Gen1 matching)
