path	phase	portability	need	what	adapts	status	successor_or_product
tools/ab_score.py	P5	ADAPT	re-score both arms of an experiment with the standalone matcher as ground truth	Re-scores every draft of two experiment arms with the standalone matcher as ground truth	repo scratch paths	LIVE	
tools/agent_drafts_restore.py	P8	ADAPT	rebuild an agent's final draft by replaying its transcript writes	Replays an agent's writes from its transcript to rebuild its final deliverable	agent transcript paths	LIVE	
tools/agent_reports.py	P8	ADAPT	save each subagent's full final report to one file per target	Saves each subagent's full final prose report to one file per target	agent transcript paths	LIVE	
tools/agent_verdicts.py	P8	ADAPT	pull the final structured verdict out of each subagent transcript	Pulls the final structured verdict out of subagent transcripts	agent transcript paths	LIVE	
tools/alloc_table.py	P7	PORTABLE	list each pseudo-register's refs, live length and allocation priority from compiler dumps	Prints each pseudo's refs, live length, block and allocation priority from compiler pass dumps	compiler pass-dump format, repo dump root	LIVE	
tools/api_agent.py	P8	ADAPT	give an external chat model the same multi-turn tool harness an agent gets	Gives an external chat model the same multi-turn tool harness an agent gets	provider endpoint, repo doc paths	LIVE	
tools/api_draft.py	P8	ADAPT	draft one function against any chat-completions endpoint, provider-agnostic	Provider-agnostic single-shot drafting worker against any chat completions endpoint	provider endpoint, repo doc paths	LIVE	
tools/api_rate.py	P8	ADAPT	measure a drafting provider's real request rate and rate-limit attribution	Reports measured request rate and rate-limit attribution from append-only telemetry	repo telemetry path	STILL-NEEDED	measure a drafting provider's true request rate and rate-limit attribution
tools/aprop_autodraft.py	P6	ADAPT	draft a family member mechanically from a seed body and symbol rebase	Mechanically drafts a family member from the seed body plus a positional symbol rebase	repo scratch paths	FROZEN	tools/share_body.py
tools/aprop_symfix.py	P6	ADAPT	rebase a remapped draft's stale seed symbols onto the target's own	Rebases stale seed symbols in a mechanically adapted draft onto the target's own symbols	repo symbol/config sources	LIVE	
tools/asm_verbatim.py	P10	ADAPT	emit a function's target assembly as an inline-assembly body	Emits the file-scope inline-assembly body form from a disassembly file	repo asm layout	LIVE	
tools/atlas.py	P5	ADAPT	partition every open function into exactly one lever-labelled work group	Partitions all open functions into exactly one lever-labelled work group	repo scratch paths	LIVE	
tools/atlas_features.py	P5	ADAPT	extract one deterministic feature record per function across every registered binary	Extracts one deterministic feature record per function across all registered binaries	repo signature files	LIVE	
tools/audit_binaries.py	P5	ADAPT	assert every consumer knows about each newly onboarded binary	Gate asserting every consumer knows about each newly onboarded binary	repo config/registry paths	LIVE	
tools/audit_digest.py	P5	ADAPT	recompute headline metrics and fail if the committed digest disagrees	Recomputes headline metrics from the current tree and fails if the committed digest disagrees	repo docs paths	LIVE	
tools/audit_frontier.py	P5	ADAPT	check that the independent what-remains views agree with the corpus oracle	"Checks that the independent ""what remains"" views agree with the corpus oracle"	repo paths	LIVE	
tools/audit_header_sigs.py	P5	ADAPT	find shared-header declarations that contradict a function's banked definition	Finds shared-header declarations that contradict the banked definition	repo shared-header paths	SUPERSEDED	tools/conform_decls.py
tools/audit_public.py	P9	ADAPT	gate a first push: prove no derived bytes among tracked files	The first-push gate: no derived bytes among tracked files, four independent checks	repo purge-set and path lists (the kit's template reads `config/firewall.txt` instead)	LIVE	
tools/audit_text_sources.py	P5	ADAPT	assert every tracked source is plain text so text searches never skip it	Every tracked C source must be plain text, or text searches silently skip it	repo src paths	LIVE	
tools/auto_driver.py	P8	ADAPT	loop a stub worklist through scaffold, draft and gate without any model	Autonomous model-free driver looping a stub worklist through scaffold, draft and gate	canonical source binary, repo paths	LIVE	
tools/auto_status.sh	P8	ADAPT	print an unattended run's heartbeats and recent progress for a remote check-in	Prints the unattended run's heartbeats and recent progress for a remote check-in	repo scratch paths	LIVE	
tools/auto_stop.sh	P8	ADAPT	request a safe exit of an unattended run through a stop sentinel	Requests a safe exit of the unattended run via a stop sentinel	repo scratch paths	LIVE	
tools/auto_supervisor.sh	P8	ADAPT	keep an unattended driver alive across crashes until a clean exit	Keeps an unattended driver alive across crashes until a clean or requested exit	repo scratch paths	LIVE	
tools/autopsy.py	P7	ADAPT	recompile every open draft and classify its failure into a residual corpus	Materializes the residual corpus by recompiling every open draft and classifying its failure	repo scratch/build paths	LIVE	
tools/backlog.py	P5	ADAPT	keep a ranked ledger of every close-but-not-matching attempt	Near-miss ledger: every close-but-not-matching attempt, ranked for hand sessions	repo scratch/doc paths	LIVE	
tools/bank_exemplar.py	P6	ADAPT	bank one cracked exemplar through the carve, splice and staged-recovery ladder	Banks one cracked exemplar through the carve, splice and staged-recovery ladder	repo src/config layout	SUPERSEDED	tools/gate_stage.py
tools/bfm_extract/__init__.py	PROJECT-ONLY	PROJECT-ONLY	expose a disc extraction pipeline's stages as one package	Package entry for one title's disc pipeline; names its own container stages	project-only	LIVE	
tools/bfm_extract/cd_archive.py	PROJECT-ONLY	PROJECT-ONLY	read a bespoke container's table of contents to locate its files	Reader for one game's bespoke container table-of-contents format	project-only	LIVE	
tools/bfm_extract/crosscheck.py	PROJECT-ONLY	PROJECT-ONLY	cross-validate an extraction against an independent third-party tool	Cross-validates against a third-party tool written for that specific game	project-only	LIVE	
tools/bfm_extract/extract.py	PROJECT-ONLY	PROJECT-ONLY	walk the whole medium and extract every file deterministically	Full-disc extractor bound to one disc's root file list and audio-track handling	project-only	LIVE	
tools/bfm_extract/extract_exe.py	PROJECT-ONLY	PROJECT-ONLY	extract the console executable and hard-validate its name, size and header	Hard-validates one executable's exact name, size, hash and header field values	project-only	LIVE	
