# .run/P37/census/parked.tsv — the Phase-36 parked classes, in one file with their reasons (type_census.write_parked; generated).
# A RESIDUE class of the P36 ledger whose exemplar is in .run/P36/s105/pick.py's PARK set; `needs` is read from the pack's mechanism.md headline
# (signature | carve | gte | struct | irreducible | ?); `patches` lists the ready patch files. The second block lists PARK names whose latest
# ledger verdict is LEVER-FREE (a minimum-lever bank — its surviving marked sites are counted by lever_census, not here).
fn	alias	tu	copies	sites	needed_per_copy	kinds	regs	needs	pack	patches	headline
func_80157D20	ov_SC04_011	src/ov_SC04_011/ov_SC04_011_jr_80154C24.c	132	264	2	pin	$4 $5	signature	.run/P36/agents/ov_SC04_011__func_80157D20		**Final score: 0 (BYTE-IDENTICAL, 21/21 words + relocs) — but NOT body-only.**
func_8013CF68	ov_SC04_011	src/ov_SC04_011/ov_SC04_011_jr_8013C98C.c	134	134	1	instruction		signature	.run/P36/agents/ov_SC04_011__func_8013CF68		**Result: NOT closed.** The best score is still **10** (ORDER, 63/63). `PACK/body.c` is c9's `h2.c`, unchanged,
func_80178970	ov_SC04_011	src/ov_SC04_011/ov_SC04_011_jr_801734BC.c	127	127	1	pin	$2	struct	.run/P36/agents/ov_SC04_011__func_80178970		**Final score: 2, NOT closed.** `PACK/body.c` is the S102 agent's early-return body. I re-scored it (score 2, 14 vs 15
func_80180324	ov_SC04_007	src/ov_SC04_007/ov_SC04_007_jr_8017BEBC.c	7	56	8	cast,keepalive,pin	$0	?	.run/P36/agents/ov_SC04_007__func_80180324		**Result: `--try` score 0 (328/328), on this function AND all ten other members of its family (table:
func_80181D1C	ov_SC04_004	src/ov_SC04_004/ov_SC04_004_jr_8017AE2C.c	4	20	5	barrier,keepalive,pin	$2 $3	?			
func_8017FC5C	ov_SC03_115	src/ov_SC03_115/ov_SC03_115_jr_8017BEBC.c	9	18	2	keepalive,pin	$2	signature	.run/P36/agents/ov_SC03_115__func_8017FC5C	.run/P36/agents/ov_SC03_115__func_8017FC5C/scratch/tu_d5.diff;.run/P36/agents/ov_SC03_115__func_8017FC5C/scratch/tu_p1.diff	**Result: score 0, lever-free, whole object byte-identical** — but it is NOT a `--body`-only change: the function has to
func_80168828	ov_SC01_077	src/ov_SC01_077/ov_SC01_077_jr_8015C32C.c	8	16	2	pin	$3 $4	?	.run/P36/agents/ov_SC01_077__func_80168828		
func_80183CC4	ov_SC03_094	src/ov_SC03_094/ov_SC03_094_jr_8017BEBC.c	3	12	4	keepalive,pin	$16 $2 $3	signature	.run/P36/agents/ov_SC03_094__func_80183CC4		**Result: score 0, ZERO levers, plain C. SIGNATURE CHANGE: `void` → `s32`** (parked for the structs phase per Drew S104 (d),
func_80185578	ov_SC06_022	src/ov_SC06_022/ov_SC06_022_jr_80184A28.c	6	12	2	instruction,keepalive		signature	.run/P36/agents/ov_SC06_022__func_80185578		**Result: score 0, and the whole object is byte-identical (`objdump -drz -s` diff empty), BUT THE CLOSE NEEDS A CHANGE
func_80178970	ov_MAIN_012	src/ov_MAIN_012/ov_MAIN_012_jr_80171B4C.c	7	7	1	pin	$2	?	.run/P36/agents/ov_MAIN_012__func_80178970		
func_80015608	main	src/800.c	1	4	4	pin	$20 $22 $3	signature	.run/P36/agents/main__func_80015608		Best body: `body.c` (= scratch/b0/v1.c tidied). Residual: ONE register — `y0`'s `subu` and its `sll s8,…,16` use
func_8001BBBC	main	src/800.c	1	4	4	launder,pin	$2 $3 $8	struct	.run/P36/agents/main__func_8001BBBC		Best body: `body.c` (= scratch/f6.c): plain field stores in the target's order, then the addPrim tail spelled with
func_801834A4	ov_SC03_105	src/ov_SC03_105/ov_SC03_105_jr_80181C84.c	1	3	3	launder,pin	$2	struct	.run/P36/agents/ov_SC03_105__func_801834A4		`body.c` (= `body_minlever.c` = `scratch/n1.c` + marks): `--try` score 0 (106/106).
func_80188DF4	ov_SC03_091	src/ov_SC03_091/ov_SC03_091_jr_8018326C.c	3	3	1	keepalive		signature	.run/P36/agents/ov_SC03_091__func_80188DF4		**Result: score 0, ZERO levers, plain C.** Six TUs checked (the brief said 3 copies share the text; the other three have the
