# config/dedup_exceptions.tsv — the S1 exception ledger (Phase 35): a byte-identical class with >=2 instances that does NOT share
# one source, with the MEASURED reason. Read by tools/share_census.py --check; one row per h_exact class. Reason codes:
#   JTBL-CARVE   a member's body owns a jump-table carve that the shared form cannot carry
#   O0-LOCAL     a member lives in a per-binary -O0 split translation unit
#   TU-CONFLICT  the chosen text is refused by a member's translation unit (a conflicting declaration)
#   PARSE-ERROR  cc1 reports a parse error at or near the site (a census range defect until a replay proves otherwise)
#   SYMBOL-NAME  the chosen text names a callee the member's binary does not define under that name (undefined reference at link)
#   GATE-REJECT  the chosen text compiled but the member's binary did not stay byte-identical (the compiler message class in note)
#   PINNED       every candidate text carries register pins and sharing would spread them (Phase 36's work)
#   CROSS-SPACE  instances in different address spaces (deferred with the cross-address classes)
# A row is evidence, not a shrug: note names the tool run and the message. Empty at the phase's open (2026-09-08).
h_exact	reason	nins	instances	note
47b7d4a04815b9d0fd1b6c329ce7bf8aa985fb10	TU-CONFLICT	154	141	share_body extend1: extend of E_func_80144090 rejected in ['ov_MAIN_012', 'ov_SC02_037', 'ov_SC03_107']; cause (ov_MAIN_012): src/ov_MAIN_012/../shared/ov/func_80144090.h:11: conflicting types for `D_800A651C'
5fd1ad0684401984d032eb95861c100cf110768a	TU-CONFLICT	123	141	share_body extend1: extend of E_func_80174CB0 rejected in ['ov_SC01_000', 'ov_SC01_077', 'ov_SC06_018']; cause (ov_SC01_000): src/ov_SC01_000/../shared/ov/func_80174CB0.h:6: conflicting types for `func_80012ABC'
7e04ee1875d81cff86833b19a385e347632ac616	TU-CONFLICT	105	141	share_body extend1: extend of E_func_801749C8 rejected in ['ov_SC01_000', 'ov_SC01_077', 'ov_SC06_018']; cause (ov_SC01_000): src/ov_SC01_000/../shared/ov/func_801749C8.h:7: conflicting types for `func_80012ABC'
0d18ee0d06ee4ef27cdf46a3ad3f37774f0c7768	TU-CONFLICT	99	141	share_body extend1: extend of E_func_80168070 rejected in ['ov_MAIN_012', 'ov_SC02_037', 'ov_SC03_107', 'ov_SC07_006', 'ov_SC07_007', 'ov_SC07_011']; cause (ov_MAIN_012): src/ov_MAIN_012/../shared/ov/func_8012D098.h:65: src/ov_MAIN_012/../shared/ov/func_801430F4.h:15: warning: warning: passing arg 2 of `func_8012D3B4' makes integer from pointer without a castpassing ar
0964d4c6581490c9daef5e32a0e6b5fc10fe3136	TU-CONFLICT	95	141	share_body extend1: extend of E_func_80168BDC rejected in ['ov_MAIN_012', 'ov_SC02_037', 'ov_SC03_107', 'ov_SC07_006', 'ov_SC07_007', 'ov_SC07_011']; cause (ov_MAIN_012): src/ov_MAIN_012/../shared/ov/func_80168BDC.h:5: conflicting types for `ApplyMatrixSV'
4dd276719f6c975dc6da1c7f08926875dc6518e7	TU-CONFLICT	89	141	share_body extend1: extend of E_func_8016986C rejected in ['ov_MAIN_012', 'ov_SC02_037', 'ov_SC03_107', 'ov_SC07_006', 'ov_SC07_007', 'ov_SC07_011']; cause (ov_MAIN_012): src/ov_MAIN_012/../shared/ov/func_8016986C.h:8: conflicting types for `ApplyMatrixSV'
238e26f72fd2caf8a3198fa61593abaec604ed92	TU-CONFLICT	88	141	share_body extend1: extend of E_func_80169058 rejected in ['ov_MAIN_012', 'ov_SC02_037', 'ov_SC03_107', 'ov_SC07_006', 'ov_SC07_007', 'ov_SC07_011']; cause (ov_MAIN_012): src/ov_MAIN_012/../shared/ov/func_8012D098.h:57: src/ov_MAIN_012/../shared/ov/func_8015DDF0.h:7: warning: warning: passing arg 1 of `func_8012D3B4' makes integer from pointer without a castpassing arg
5793cdffdeb21282a415e90ae9dbf4c72f189442	TU-CONFLICT	85	141	share_body extend1: extend of E_func_8016A8FC rejected in ['ov_MAIN_012', 'ov_SC02_037', 'ov_SC03_107']; cause (ov_MAIN_012): src/ov_MAIN_012/../shared/ov/func_8015EDA0.h:7: src/ov_MAIN_012/../shared/ov/func_80170374.h:11: warning: warning: passing arg 1 of `func_8015EE7C' makes integer from pointer without a castpassing arg
225792366f1cd769c96175ef8deb6a8193e18ca0	TU-CONFLICT	82	141	share_body extend1: extend of E_func_8014CF04 rejected in ['ov_SC07_006']; cause (ov_SC07_006): src/ov_SC07_006/../shared/ov/func_8014CF04.h:7: conflicting types for `func_8014CF04'
cc6b91ad3dbdd22a8a59ef399283a09a4274fa4e	TU-CONFLICT	79	141	share_body extend1: extend of E_func_8016D848 rejected in ['ov_MAIN_012', 'ov_SC02_037', 'ov_SC03_107', 'ov_SC07_006', 'ov_SC07_007', 'ov_SC07_010', 'ov_SC07_011']; cause (ov_MAIN_012): src/ov_MAIN_012/../shared/ov/func_8016D848.h:16: too few arguments to function `func_80146C3C'
